Value,Test
34.38,735324
34.209,735325
30.97,735326
31.962,735327
32.515,735328
31.607,735329
31.607,735330
32.266,735331
29.417,735332
28.494,735333
28.046,735334
27.62,735335
27.347,735336
27.347,735337
27.324,735338
27.067,735339
26.944,735340
26.846,735341
26.715,735342
26.679,735343
26.679,735344
26.759,735345
26.495,735346
26.471,735347
26.572,735348
26.636,735349
26.593,735350
26.593,735351
26.672,735352
26.622,735353
26.552,735354
26.585,735355
26.437,735356
26.42,735357
26.42,735358
26.42,735359
26.443,735360
26.434,735361
26.251,735362
26.217,735363
26.084,735364
26.084,735365
26.187,735366
26.409,735367
26.364,735368
26.476,735369
26.588,735370
26.572,735371
26.572,735372
26.569,735373
26.857,735374
27.088,735375
27.311,735376
27.512,735377
27.167,735378
27.167,735379
27.167,735380
27.276,735381
27.006,735382
27.084,735383
26.705,735384
26.755,735385
26.755,735386
27.034,735387
26.712,735388
26.481,735389
26.345,735390
26.087,735391
25.894,735392
25.894,735393
26.091,735394
26.03,735395
26.327,735396
26.402,735397
26.334,735398
26.278,735399
26.278,735400
26.29,735401
26.305,735402
26.089,735403
26.256,735404
26.355,735405
26.078,735406
26.078,735407
26.24,735408
26.131,735409
26.091,735410
26.013,735411
25.977,735412
25.799,735413
25.799,735414
25.989,735415
26.109,735416
26.259,735417
26.338,735418
26.223,735419
25.916,735420
25.916,735421
26.1,735422
26.1,735423
26.165,735424
26.274,735425
26.295,735426
25.978,735427
25.978,735428
26.187,735429
26.037,735430
25.907,735431
25.944,735432
26.054,735433
25.851,735434
25.851,735435
26.047,735436
25.983,735437
26.094,735438
26.117,735439
26.122,735440
25.687,735441
25.687,735442
25.921,735443
25.995,735444
25.827,735445
25.925,735446
25.537,735447
24.706,735448
24.706,735449
25.167,735450
25.191,735451
25.416,735452
25.86,735453
25.84,735454
25.643,735455
25.643,735456
25.776,735457
25.567,735458
25.52,735459
25.734,735460
25.794,735461
25.395,735462
25.395,735463
25.594,735464
25.633,735465
25.614,735466
25.624,735467
25.711,735468
25.344,735469
25.344,735470
25.344,735471
25.466,735472
25.313,735473
25.43,735474
25.332,735475
25.308,735476
25.308,735477
25.412,735478
25.941,735479
25.985,735480
25.883,735481
26.002,735482
26.159,735483
26.159,735484
26.274,735485
26.505,735486
26.646,735487
26.822,735488
27.023,735489
26.889,735490
26.889,735491
27.022,735492
26.99,735493
26.722,735494
26.817,735495
26.8,735496
26.664,735497
26.664,735498
26.801,735499
26.566,735500
26.387,735501
26.301,735502
26.404,735503
26.286,735504
26.286,735505
26.343,735506
26.081,735507
26.036,735508
25.878,735509
25.592,735510
25.585,735511
25.585,735512
25.79,735513
26.278,735514
26.138,735515
26.52,735516
26.382,735517
26.163,735518
26.163,735519
26.386,735520
26.494,735521
26.537,735522
26.11,735523
25.851,735524
25.443,735525
25.443,735526
25.55,735527
25.855,735528
25.797,735529
25.971,735530
25.809,735531
25.103,735532
25.103,735533
25.697,735534
25.377,735535
25.527,735536
25.844,735537
25.659,735538
25.022,735539
25.022,735540
25.891,735541
26.109,735542
26.468,735543
26.205,735544
25.772,735545
25.857,735546
25.857,735547
26.035,735548
26.26,735549
26.85,735550
27.096,735551
27.391,735552
27.544,735553
27.544,735554
27.668,735555
27.748,735556
27.84,735557
27.638,735558
27.745,735559
27.657,735560
27.657,735561
27.796,735562
27.802,735563
27.879,735564
28.037,735565
28.333,735566
28.061,735567
28.061,735568
28.166,735569
28.54,735570
29.059,735571
28.759,735572
28.53,735573
28.096,735574
28.096,735575
28.193,735576
27.814,735577
27.759,735578
27.666,735579
27.464,735580
27.285,735581
27.285,735582
27.367,735583
27.647,735584
27.538,735585
27.72,735586
27.59,735587
27.439,735588
27.439,735589
27.518,735590
26.852,735591
27.197,735592
27.197,735593
27.421,735594
27.277,735595
27.277,735596
27.37,735597
26.852,735598
26.53,735599
26.685,735600
26.566,735601
26.115,735602
26.115,735603
26.268,735604
26.739,735605
26.636,735606
26.923,735607
26.886,735608
26.482,735609
26.482,735610
26.717,735611
26.304,735612
26.2,735613
26.101,735614
26.386,735615
26.079,735616
26.079,735617
26.371,735618
26.437,735619
26.546,735620
26.466,735621
26.31,735622
26.364,735623
26.364,735624
26.585,735625
25.891,735626
25.796,735627
25.728,735628
25.354,735629
24.89,735630
24.89,735631
24.992,735632
24.578,735633
24.66,735634
24.133,735635
24.439,735636
24.405,735637
24.405,735638
24.588,735639
24.425,735640
24.655,735641
24.749,735642
24.392,735643
23.522,735644
23.522,735645
23.727,735646
23.777,735647
23.897,735648
23.638,735649
23.62,735650
23.171,735651
23.171,735652
23.303,735653
22.747,735654
22.816,735655
22.678,735656
23.136,735657
22.911,735658
22.911,735659
23.029,735660
24.548,735661
23.878,735662
23.244,735663
23.555,735664
23.599,735665
23.599,735666
23.694,735667
23.517,735668
23.319,735669
23.102,735670
23.262,735671
22.989,735672
22.989,735673
23.259,735674
23.124,735675
22.79,735676
22.484,735677
22.249,735678
22.081,735679
22.081,735680
22.319,735681
22.053,735682
22.173,735683
22.164,735684
21.969,735685
21.209,735686
21.209,735687
21.337,735688
20.619,735689
20.714,735690
19.672,735691
19.572,735692
18.994,735693
18.994,735694
19.291,735695
20.45,735696
20.872,735697
