48.19,44.68,42.92,40.39,20.96,39.63,40.1,20,40.74,45,47.2,48.43,24.85,44.73,46.59,52.99,60.26,60.61,60.36,57.4,53.86,53.45,49.72,46.69
42.43,41.09,27.26,20.08,39,42.09,46.57,31.88,48.81,48.81,48.81,48.81,40.45,51.68,53.89,59.99,62,63.08,62.17,60.03,48.35,48.35,48.35,46.11
43,35,28.54,16.2,20.11,22.12,36.97,41.07,44.49,49,49,44.4,38.55,43.73,45.53,49.92,58,59.5,61.09,60,53.78,49,48.13,46.85
20,3,1.5,3,23.58,53.64,52.54,56.32,68.24,65.97,63.9,62.3,48.87,48.87,48.87,53.64,67.02,71.05,70.18,65,49.18,46.6,48.87,22.72
22.39,19,17.57,29.8,49.53,58.15,61.09,65.07,66.98,58.54,58.2,56.7,56.4,56.7,59.5,61.09,68.32,66.77,64.33,61.32,49.77,43.22,48.31,53.29
52.6,50.6,49,47.2,49.3,55,53.29,47.93,47.93,51.4,53.29,52.77,53.29,56.14,52.14,56.14,56.14,55.8,56.14,53.29,56.14,56.14,53.29,20.68
12.72,12.16,9.53,17.43,26.75,56.84,47.52,48.1,48.67,47.52,47.52,46.64,46.64,47.52,49.6,55.08,77.47,80.41,77.09,57.39,48.99,46.64,42.54,30
24.39,21.03,18.25,19.2,25.77,48.39,56.84,80,73,69.54,66.39,64.79,62.1,66,69,70,84,84,83.06,70,53.09,51,47.52,26.92
21.51,21.04,6.6,18.15,32.17,51.39,52.56,55.95,63.97,67.71,64.86,67.01,62.31,60,60,62.78,69.92,71.99,68.95,62.66,59,56.53,55.41,53.88
54,53.14,49.04,48.45,49.07,52.5,56.2,46.78,48.28,54,48.28,47.5,46.78,42.89,46.78,47.21,58,65,68.14,63.58,53.99,46.78,46.78,51.56
35,19.95,19.95,32.15,52.1,62.51,68.32,49.31,54.01,62.03,58.14,62.06,65.99,68.86,61.23,62.03,53.68,53.68,53.68,53.68,47.06,47.06,45.5,24.37
20.78,22.07,21.71,22.7,30.36,52.01,56.38,66.39,70.57,69.13,68.54,67.77,57.55,63.7,63.63,66.78,73.08,73.64,70.92,66.14,46.32,42.12,42.58,47.75
47.75,47.75,47.27,47.75,61.4,71.2,84,88.33,86.3,81.55,66.23,59.92,59.29,69.97,76.9,81.79,86.42,87.69,79.3,69.45,64.26,61.81,52.22,22.51
10,2.08,2.01,2,2.01,20.08,47.27,61.46,56.86,56.86,59.55,57.05,57.43,64.1,71.09,74.01,82.38,86,80.15,69,50.58,30.7,42.64,35
46.44,46.44,35,27.6,45,47.44,56.89,78.02,58.34,58.4,65,68.85,69.97,77.14,76.98,82,97.04,98.02,94.38,77.2,67.18,63.19,57.01,47.44
47.44,47.44,47.44,46.48,46.48,47.44,54.96,56.94,53.08,53.08,53.08,49.08,46.48,46.56,47.48,57.7,65.01,66.4,63.8,53.08,44.02,41,41.01,41.01
41,25.12,22.22,22.25,33.72,31.28,43.38,52.3,57.88,60.81,60.11,59.8,57,57.76,58.57,62.25,70,93.25,95.27,70,62.99,60.48,56.97,53.37
47.62,46.38,30.43,27.21,45.1,65.4,80.22,85.79,80.95,69.03,63.7,62.33,63.22,62.33,79.33,86.3,97.16,93.96,89.4,79.4,68.5,65.58,64,54.04
52.3,49.6,47.9,49.6,57.6,67.82,85,93.61,87.56,82.4,80.95,71.38,69.97,73.48,77.67,84.53,95.9,91.81,88.32,74.96,65.09,59.79,60.24,50.87
49,46,46,47.64,56.41,69.97,75.73,84.05,73.13,64,69.97,62.44,60.14,69.97,67.62,72.31,75.57,76.09,71,64.54,61.15,59,50.1,48.4
45.07,41.6,41.02,45.1,52.95,62.64,68.9,78.62,72.63,64.01,63.73,56.95,60.8,63.89,60.91,67.03,71.69,71.69,67.25,64.76,61.27,55.19,46.29,42.9
