date,price
735236.0,618.75
735237.0,629.5
735238.0,
735239.0,
735240.0,637.75
735241.0,643.0
735242.0,647.25
735243.0,660.0
735244.0,638.5
735245.0,
735246.0,
735247.0,648.75
735248.0,642.25
735249.0,638.75
735250.0,645.25
735251.0,646.0
735252.0,
735253.0,
735254.0,653.75
735255.0,651.5
735256.0,650.5
735257.0,659.75
735258.0,651.5
735259.0,
735260.0,
735261.0,650.75
735262.0,654.5
735263.0,663.25
735264.0,658.25
735265.0,668.75
735266.0,
735267.0,
735268.0,665.25
735269.0,676.75
735270.0,684.25
735271.0,690.0
735272.0,699.5
735273.0,
735274.0,
735275.0,696.25
735276.0,689.0
735277.0,682.25
735278.0,689.0
735279.0,686.75
735280.0,
735281.0,
735282.0,672.75
735283.0,671.0
735284.0,668.25
735285.0,654.25
735286.0,637.75
735287.0,
735288.0,
735289.0,646.25
735290.0,640.5
735291.0,628.25
735292.0,629.5
735293.0,618.5
735294.0,
735295.0,
735296.0,612.5
735297.0,621.0
735298.0,625.75
735299.0,629.5
735300.0,616.25
735301.0,
735302.0,
735303.0,622.25
735304.0,625.25
735305.0,612.0
735306.0,606.0
735307.0,617.25
735308.0,
735309.0,
735310.0,613.25
735311.0,614.25
735312.0,611.5
735313.0,608.5
735314.0,601.75
735315.0,
735316.0,
735317.0,608.75
735318.0,608.75
735319.0,615.0
735320.0,603.5
735321.0,
735322.0,
735323.0,
735324.0,
735325.0,610.5
735326.0,605.25
735327.0,595.75
735328.0,595.0
735329.0,
735330.0,
735331.0,588.5
735332.0,590.75
735333.0,599.75
735334.0,594.75
735335.0,578.5
735336.0,
735337.0,
735338.0,576.0
735339.0,575.75
735340.0,573.75
735341.0,571.0
735342.0,569.0
735343.0,
735344.0,
735345.0,574.25
735346.0,575.5
735347.0,582.5
735348.0,590.0
735349.0,588.75
735350.0,
735351.0,
735352.0,587.5
735353.0,587.0
735354.0,574.5
735355.0,588.0
735356.0,606.0
735357.0,
735358.0,
735359.0,
735360.0,620.5
735361.0,613.0
735362.0,615.5
735363.0,604.75
735364.0,
735365.0,
735366.0,608.0
735367.0,605.75
735368.0,597.5
735369.0,605.25
735370.0,605.0
735371.0,
735372.0,
735373.0,610.5
735374.0,604.0
735375.0,602.75
735376.0,594.75
735377.0,601.0
735378.0,
735379.0,
735380.0,
735381.0,604.5
735382.0,599.25
735383.0,597.5
735384.0,594.75
735385.0,
735386.0,
735387.0,601.75
735388.0,606.25
735389.0,616.25
735390.0,615.25
735391.0,618.0
735392.0,
735393.0,
735394.0,618.5
735395.0,612.5
735396.0,621.75
735397.0,614.75
735398.0,628.5
735399.0,
735400.0,
735401.0,630.5
735402.0,629.75
735403.0,630.75
735404.0,612.0
735405.0,592.5
735406.0,
735407.0,
735408.0,592.0
735409.0,598.5
735410.0,588.75
735411.0,600.25
735412.0,600.75
735413.0,
735414.0,
735415.0,593.75
735416.0,600.25
735417.0,604.75
735418.0,603.25
735419.0,605.5
735420.0,
735421.0,
735422.0,608.5
735423.0,606.0
735424.0,606.25
735425.0,609.75
735426.0,605.25
735427.0,
735428.0,
735429.0,599.0
735430.0,599.5
735431.0,605.5
735432.0,604.25
735433.0,603.75
735434.0,
735435.0,
735436.0,604.25
735437.0,606.75
735438.0,603.75
735439.0,602.5
735440.0,602.0
735441.0,
735442.0,
735443.0,605.5
735444.0,596.0
735445.0,600.0
735446.0,606.5
735447.0,609.0
735448.0,
735449.0,
735450.0,607.25
735451.0,602.75
735452.0,600.0
735453.0,593.75
735454.0,597.0
735455.0,
735456.0,
735457.0,601.5
735458.0,611.75
735459.0,614.75
735460.0,622.25
735461.0,620.5
735462.0,
735463.0,
735464.0,623.5
735465.0,619.0
735466.0,618.0
735467.0,616.5
735468.0,607.25
735469.0,
735470.0,
735471.0,
735472.0,615.5
735473.0,622.25
735474.0,624.5
735475.0,619.75
735476.0,
735477.0,
735478.0,615.75
735479.0,623.0
735480.0,624.0
735481.0,625.0
735482.0,631.5
735483.0,
735484.0,
735485.0,627.0
735486.0,607.25
735487.0,615.25
735488.0,622.25
735489.0,620.0
735490.0,
735491.0,
735492.0,621.0
735493.0,617.5
735494.0,616.75
735495.0,618.25
735496.0,611.25
735497.0,
735498.0,
735499.0,608.75
735500.0,606.25
735501.0,613.0
735502.0,610.5
735503.0,613.0
735504.0,
735505.0,
735506.0,607.75
735507.0,602.25
735508.0,607.5
735509.0,603.25
735510.0,598.5
735511.0,
735512.0,
735513.0,595.0
735514.0,597.0
735515.0,591.0
735516.0,609.5
735517.0,610.75
735518.0,
735519.0,
735520.0,609.0
735521.0,611.25
735522.0,614.25
735523.0,602.0
735524.0,601.5
735525.0,
735526.0,
735527.0,602.5
735528.0,600.25
735529.0,596.0
735530.0,589.0
735531.0,588.75
735532.0,
735533.0,
735534.0,595.75
735535.0,600.25
735536.0,602.5
735537.0,600.25
735538.0,591.25
735539.0,
735540.0,
735541.0,586.5
735542.0,590.5
735543.0,594.0
735544.0,584.0
735545.0,586.75
735546.0,
735547.0,
735548.0,591.75
735549.0,591.0
735550.0,593.25
735551.0,599.25
735552.0,602.5
735553.0,
735554.0,
735555.0,599.5
735556.0,601.75
735557.0,600.25
735558.0,604.75
735559.0,609.25
735560.0,
735561.0,
735562.0,612.75
735563.0,620.25
735564.0,619.25
735565.0,620.5
735566.0,626.0
735567.0,
735568.0,
735569.0,632.0
735570.0,636.5
735571.0,635.25
735572.0,624.75
735573.0,620.0
735574.0,
735575.0,
735576.0,609.75
735577.0,614.25
735578.0,619.0
735579.0,617.5
735580.0,609.25
735581.0,
735582.0,
735583.0,613.0
735584.0,606.5
735585.0,610.25
735586.0,614.5
735587.0,615.0
735588.0,
735589.0,
735590.0,602.5
735591.0,600.75
735592.0,
735593.0,
735594.0,603.25
735595.0,
735596.0,
735597.0,598.0
735598.0,593.25
735599.0,
735600.0,587.0
735601.0,582.75
735602.0,
735603.0,
735604.0,585.5
735605.0,588.5
735606.0,596.25
735607.0,596.25
735608.0,590.5
735609.0,
735610.0,
735611.0,589.25
735612.0,587.0
735613.0,594.25
735614.0,591.5
735615.0,594.75
735616.0,
735617.0,
735618.0,586.5
735619.0,590.0
735620.0,593.0
735621.0,596.75
735622.0,593.5
735623.0,
735624.0,
735625.0,594.0
735626.0,601.5
735627.0,612.75
735628.0,619.75
735629.0,614.5
735630.0,
735631.0,
735632.0,605.0
735633.0,611.0
735634.0,615.0
735635.0,624.0
735636.0,627.5
735637.0,
735638.0,
735639.0,626.5
735640.0,628.0
735641.0,630.5
735642.0,635.5
735643.0,634.25
735644.0,
735645.0,
735646.0,635.25
735647.0,641.25
735648.0,646.75
735649.0,647.75
735650.0,644.75
735651.0,
735652.0,
735653.0,643.25
735654.0,639.75
735655.0,643.75
735656.0,637.5
735657.0,639.0
735658.0,
735659.0,
735660.0,667.0
735661.0,643.25
735662.0,640.25
735663.0,644.75
735664.0,651.5
735665.0,
735666.0,
735667.0,651.5
735668.0,656.75
735669.0,642.75
735670.0,639.5
735671.0,638.5
735672.0,
735673.0,
735674.0,632.25
735675.0,638.75
735676.0,634.0
735677.0,640.5
735678.0,642.5
735679.0,
735680.0,
735681.0,637.25
735682.0,641.75
735683.0,642.5
735684.0,645.0
735685.0,650.25
735686.0,
735687.0,
735688.0,652.0
735689.0,663.75
735690.0,643.75
735691.0,640.25
735692.0,637.0
735693.0,
735694.0,
735695.0,628.0
735696.0,638.5
735697.0,638.5
735698.0,631.5
735699.0,630.5
735700.0,
735701.0,
735702.0,634.5
735703.0,635.75
735704.0,635.0
735705.0,623.75
735706.0,
735707.0,
735708.0,
735709.0,
735710.0,622.75
735711.0,618.75
735712.0,624.75
735713.0,621.25
735714.0,
735715.0,
735716.0,622.0
735717.0,621.0
735718.0,625.0
735719.0,622.25
735720.0,628.25
735721.0,
735722.0,
735723.0,
735724.0,627.5
735725.0,625.25
735726.0,623.25
735727.0,624.0
735728.0,
735729.0,
735730.0,623.75
735731.0,634.25
735732.0,637.75
735733.0,638.0
735734.0,644.25
735735.0,
735736.0,
735737.0,647.25
735738.0,649.5
735739.0,653.25
735740.0,656.25
735741.0,653.25
735742.0,
735743.0,
735744.0,
735745.0,647.75
735746.0,643.0
735747.0,645.5
735748.0,640.75
735749.0,
735750.0,
735751.0,641.75
735752.0,636.75
735753.0,640.5
735754.0,638.75
735755.0,637.5
735756.0,
735757.0,
735758.0,639.0
735759.0,642.5
735760.0,641.75
735761.0,650.75
735762.0,645.5
735763.0,
735764.0,
735765.0,639.5
735766.0,645.0
735767.0,648.25
735768.0,643.5
735769.0,640.5
735770.0,
735771.0,
735772.0,637.25
735773.0,638.25
735774.0,636.75
735775.0,638.0
735776.0,639.5
735777.0,
735778.0,
735779.0,641.25
735780.0,638.5
735781.0,630.25
735782.0,622.5
735783.0,622.75
735784.0,
735785.0,
735786.0,619.75
735787.0,613.5
735788.0,611.75
735789.0,613.5
735790.0,607.5
735791.0,
735792.0,
735793.0,603.5
735794.0,593.25
735795.0,594.75
735796.0,596.25
735797.0,596.25
735798.0,
735799.0,
735800.0,596.25
735801.0,595.75
735802.0,596.25
735803.0,592.75
735804.0,595.5
735805.0,
735806.0,
735807.0,591.5
735808.0,593.5
735809.0,593.5
735810.0,589.5
735811.0,584.75
735812.0,
735813.0,
735814.0,580.0
735815.0,572.25
735816.0,570.75
735817.0,570.5
735818.0,569.25
735819.0,
735820.0,
735821.0,572.75
735822.0,569.25
735823.0,567.5
735824.0,566.0
735825.0,573.75
735826.0,
735827.0,
735828.0,570.75
735829.0,575.5
735830.0,574.0
735831.0,573.25
735832.0,571.0
735833.0,
735834.0,
735835.0,
735836.0,577.0
735837.0,580.0
735838.0,580.75
735839.0,580.25
735840.0,
735841.0,
735842.0,593.5
735843.0,585.75
735844.0,587.0
735845.0,585.25
735846.0,575.75
735847.0,
735848.0,
735849.0,570.75
735850.0,566.25
735851.0,569.5
735852.0,566.75
735853.0,564.25
735854.0,
735855.0,
735856.0,561.75
735857.0,563.0
735858.0,563.0
735859.0,559.5
735860.0,556.0
735861.0,
735862.0,
735863.0,555.25
735864.0,556.25
735865.0,558.25
735866.0,562.5
735867.0,561.75
735868.0,
735869.0,
735870.0,559.75
735871.0,552.5
735872.0,553.0
735873.0,535.5
735874.0,530.5
735875.0,
735876.0,
735877.0,524.5
735878.0,521.25
735879.0,510.5
735880.0,509.75
735881.0,499.25
735882.0,
735883.0,
735884.0,493.25
735885.0,478.75
735886.0,461.25
735887.0,459.25
