date,price
737729.0,442.0
737730.0,
737731.0,
737732.0,457.5
737733.0,453.0
737734.0,449.75
737735.0,446.5
737736.0,439.75
737737.0,
737738.0,
737739.0,445.5
737740.0,439.5
737741.0,444.25
737742.0,456.0
737743.0,454.25
737744.0,
737745.0,
737746.0,438.75
737747.0,434.0
737748.0,445.75
737749.0,450.25
737750.0,442.0
737751.0,
737752.0,
737753.0,456.5
737754.0,463.5
737755.0,464.25
737756.0,464.0
737757.0,449.25
737758.0,
737759.0,
737760.0,452.25
737761.0,446.75
737762.0,470.25
737763.0,473.25
737764.0,483.25
737765.0,
737766.0,
737767.0,481.75
737768.0,486.5
737769.0,478.0
737770.0,485.75
737771.0,506.0
737772.0,
737773.0,
737774.0,523.5
737775.0,531.75
737776.0,536.25
737777.0,545.75
737778.0,545.0
737779.0,
737780.0,
737781.0,544.5
737782.0,547.25
737783.0,
737784.0,
737785.0,562.5
737786.0,
737787.0,
737788.0,559.0
737789.0,547.5
737790.0,
737791.0,556.25
737792.0,570.75
737793.0,
737794.0,
737795.0,564.5
737796.0,572.0
737797.0,560.5
737798.0,547.5
737799.0,545.5
737800.0,
737801.0,
737802.0,529.5
737803.0,530.75
737804.0,518.5
737805.0,522.5
737806.0,513.75
737807.0,
737808.0,
737809.0,524.5
737810.0,519.5
737811.0,509.5
737812.0,502.25
737813.0,489.5
737814.0,
737815.0,
737816.0,475.0
737817.0,481.5
737818.0,481.25
737819.0,466.25
737820.0,455.75
737821.0,
737822.0,
737823.0,439.75
737824.0,442.25
737825.0,451.75
737826.0,447.25
737827.0,444.5
737828.0,
737829.0,
737830.0,440.0
737831.0,442.5
737832.0,454.5
737833.0,452.0
737834.0,442.25
737835.0,
737836.0,
737837.0,433.5
737838.0,432.5
737839.0,443.5
737840.0,443.0
737841.0,417.25
737842.0,
737843.0,
737844.0,394.75
737845.0,396.25
737846.0,387.25
737847.0,362.0
737848.0,356.5
737849.0,
737850.0,
737851.0,376.0
737852.0,381.25
737853.0,373.25
737854.0,368.5
737855.0,321.75
737856.0,
737857.0,
737858.0,266.0
737859.0,277.5
737860.0,285.5
737861.0,250.75
737862.0,248.25
737863.0,
737864.0,
737865.0,219.25
737866.0,214.0
737867.0,180.0
737868.0,194.25
737869.0,210.5
737870.0,
737871.0,
737872.0,200.0
737873.0,217.75
737874.0,216.25
737875.0,215.0
737876.0,211.0
737877.0,
737878.0,
737879.0,198.25
737880.0,203.75
737881.0,180.75
737882.0,178.25
737883.0,193.5
737884.0,
737885.0,
737886.0,194.75
737887.0,201.0
737888.0,200.25
737889.0,200.0
737890.0,
737891.0,
737892.0,
737893.0,
737894.0,184.5
737895.0,169.25
737896.0,183.0
737897.0,190.75
737898.0,
737899.0,
737900.0,179.25
737901.0,139.75
737902.0,126.0
737903.0,139.25
737904.0,112.75
737905.0,
737906.0,
737907.0,98.5
737908.0,99.0
737909.0,122.75
737910.0,149.25
737911.0,148.0
737912.0,
737913.0,
737914.0,156.0
737915.0,191.25
737916.0,178.0
737917.0,187.75
737918.0,
737919.0,
737920.0,
737921.0,194.25
737922.0,188.75
737923.0,186.0
737924.0,198.25
737925.0,212.75
737926.0,
737927.0,
737928.0,245.75
737929.0,231.75
737930.0,240.0
737931.0,235.25
737932.0,224.5
737933.0,
737934.0,
737935.0,
737936.0,235.0
737937.0,224.5
737938.0,219.25
737939.0,223.75
737940.0,
737941.0,
737942.0,233.25
737943.0,256.75
737944.0,248.5
737945.0,249.5
737946.0,278.5
737947.0,
737948.0,
737949.0,277.0
737950.0,280.75
737951.0,286.75
737952.0,268.5
737953.0,273.5
737954.0,
737955.0,
737956.0,275.5
737957.0,293.0
737958.0,296.5
737959.0,299.0
737960.0,309.0
737961.0,
737962.0,
737963.0,308.0
737964.0,309.25
737965.0,284.25
737966.0,283.25
737967.0,278.0
737968.0,
737969.0,
737970.0,286.25
737971.0,290.75
737972.0,296.75
737973.0,296.75
737974.0,295.5
737975.0,
737976.0,
737977.0,300.75
737978.0,300.75
737979.0,299.25
737980.0,297.0
737981.0,299.5
737982.0,
737983.0,
737984.0,298.0
737985.0,295.25
737986.0,302.25
737987.0,301.75
737988.0,300.75
737989.0,
737990.0,
737991.0,303.25
737992.0,319.5
737993.0,312.25
737994.0,309.0
737995.0,302.75
737996.0,
737997.0,
737998.0,298.5
737999.0,300.25
738000.0,307.5
738001.0,290.5
738002.0,294.75
738003.0,
738004.0,
738005.0,298.25
738006.0,300.5
738007.0,321.75
738008.0,308.0
738009.0,301.75
738010.0,
738011.0,
738012.0,301.0
738013.0,310.25
738014.0,311.0
738015.0,310.75
738016.0,311.0
738017.0,
