47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72
39.1,35.21,32.43,33.15,38.85,48.89,60.689,64.145,64.6,56.716,54.975,52.787,52.254,55.806,64.185,64.404,68.48,67.045,64.348,61.904,56.751,53.282,52.787,51.72
45.21,38.8,35,33.43,37.58,43.5,52,53.624,52.804,50.869,49.1,47.97,45.11,47.884,54.091,58.816,64.414,64.554,64.654,63.295,60.608,58.262,52.256,51.842
47.975,47.537,44.781,44.781,46.943,53.628,65.711,72.653,70.501,66.4,64.168,56.301,54.228,64.483,65.295,69.2,83.137,84.446,81.312,71.283,68.346,61.866,57.778,48.855
43.906,43.189,42.156,42.375,47.021,60.685,66.289,78.24,76,70.851,67.001,58.716,58.839,65.426,65.295,68.74,84.028,83.299,80.424,72.372,64.889,58.433,51.344,47.699
44.383,43.862,43.189,43.862,48.596,53.955,66.111,76.143,72.949,65.636,64.403,54.305,53.089,56.064,59.389,63.376,74.568,72.799,66.352,60.918,58.683,52.701,47.76,45.341
42.113,38.359,37.344,36.758,38.359,45.779,51.391,52.31,51.54,49.554,47.091,43.845,41.412,42.69,47.795,52.583,69.289,71.123,68.606,62.852,54.714,50.404,44.146,42.498
38.306,32.435,21.999,21.999,26.337,35.164,40.774,42.117,43.194,40.56,38.381,37.702,32.663,34.588,39.256,47.149,55.215,56.874,59.791,57.07,51.479,47.569,42.253,33.78
28.3,22.08,19.8,25,33.62,48.07,56.511,65.06,61.805,55.507,54.793,50.058,50.478,54.289,58.366,61.618,71.458,73.498,68.908,64.591,59.529,54.829,48.208,46.838
44.501,43.845,41.503,44.501,48.929,53.282,58.321,69.242,64.388,59.074,56.086,51.423,51.072,54.7,58.592,64.285,73.484,74.072,68.816,63.953,59.276,53.734,50.596,45.595
42.287,41.412,38.874,43.346,46.251,50.092,56.16,64.788,60.516,55.996,53.491,50.29,50.185,52.259,55.109,58.193,62.704,62.949,59.561,54.347,51.733,51.326,46.846,46.514
44.037,39,39,41.124,48.001,52.193,59.896,69.635,66.809,62.006,57.058,51.912,51.869,54.665,55.526,58.373,64.411,64.574,61.271,55.193,52.747,50.77,46.479,46.251
43.162,41.412,38.914,41.859,43.306,50.495,55.943,66.626,62.988,58.914,57.475,51.72,51.475,55.224,55.832,57.22,62.661,61.358,58.674,54.524,52.94,50.308,45.769,40.92
40,35.58,33.58,34.01,35.04,41.17,52.805,56.279,57.626,51.571,48.22,44.51,43.749,44.799,47.546,49.966,59.161,63.589,63.665,57.408,51.298,47.537,42.518,41.648
36.5,34.84,32.84,34.71,33.58,36.45,40.92,45.429,48.076,48.155,44.681,44.037,42.287,41.981,50.233,52.244,68.676,71.492,75.021,72.461,66.104,58.654,50.363,42.436
40.73,33.844,36.898,35.086,42.287,51.213,57.561,64.621,61.586,56.975,55.649,52.096,51.912,53.645,56.319,58.934,65.442,67.693,63.872,61.008,60.973,53.1,49.23,49.287
42.08,40.94,41.49,41.47,42.91,52.735,81.066,67.758,64.001,60.313,56.927,53.671,53.531,54.861,56.301,58.163,63.411,67.466,64.175,60.271,55.527,53.22,51.813,49.835
46.234,45.674,45.674,45.717,45.936,52.009,57.324,67.36,62.873,62.907,58.318,53.671,53.006,53.741,55.208,55.67,61.848,64.766,60.539,55.616,53.054,51.725,49.62,47.327
43.17,42.34,41.44,40.88,42.46,49.82,57.95,63.31,60.066,60.704,59.478,55.38,53.878,54.569,55.155,55.959,60.929,63.326,61.104,54.844,53.045,51.585,49.077,46.662
42.803,40.86,39.56,38.87,41,50.162,56.768,61.263,61.15,62.348,59.895,56.266,54.861,54.844,54.984,55.357,61.217,62.819,60.02,55.101,52.87,51.935,49.619,47.94
44.1,40.45,39.89,35.5,37,40.45,51.239,53.024,53.636,52.026,51.265,46.83,41,44.221,47.012,48.864,58.348,61.683,63.371,58.352,51.858,49.864,48.588,45.367
42.287,39.181,36.548,35.926,36.548,37.913,40.887,40.796,43.185,43.316,43.369,43.316,39.54,37.423,38.425,40.56,51.435,54.795,57.42,55.154,52.17,48.801,44.856,42.725
40.529,39.225,38.131,36.355,39.899,50.11,56.31,60.045,58.88,57.107,55.729,52.31,51.961,52.984,53.92,54.707,60.949,62.652,59.69,56.753,54.707,52.17,49.463,46.431
44.466,43.399,39.5,39.19,40.76,51.746,57.56,59.435,58.535,57.08,55.643,52.576,52.233,53.18,53.871,55.598,62.33,63.293,61.089,58.144,54.812,52.17,50.789,46.134
44.466,43.793,42.104,40.249,43.495,51.694,60.668,63.011,61.786,55.697,53.685,51.76,51.475,52.219,54.074,54.546,63.536,64.469,61.24,58.838,60.668,52.366,50.004,43.5
41.7,41.07,40.27,41.87,42.5,53.129,58.086,63.301,62.592,59.298,55.278,52.551,51.939,53.51,54.245,55.496,63.099,61.34,57.561,54.662,52.826,50.273,45,39.99
37.27,35,33.44,33.73,35.75,45,53.434,60.598,59.138,56.153,52.155,49.521,49.7,50.31,53.094,52.954,60.731,60.265,56.431,54.455,52.381,47.975,43.262,46.662
40.31,38.079,36.5,36.4,39.68,46.76,55.46,60.854,62.176,54.55,50.71,49.99,47.63,49.65,50.55,57.299,64.077,70.911,71.365,61.774,57.577,50.793,45.5,43.5
38.228,30.625,27.422,26.25,26.434,28.035,30.923,38.61,43.581,40.63,40.89,40.021,36.13,33.149,35.95,41.946,51.804,58.305,59.608,56.704,53.09,48.176,44.563,37.078
34,32.58,31,32,35.276,51,60.626,65.082,63.296,58.404,55.561,52.131,51.231,52.364,55.083,58,65.594,69.811,65.61,61.02,61.563,57.925,54.659,51.4
46.01,44.71,42.07,41.39,47.6,57.916,65.62,69.489,67.117,68.93,63.918,58.36,56.16,57.778,60.395,61.904,66.454,81.931,74.931,64.082,61.563,57.934,53.62,46.49
43.456,38.367,37.238,37.3,38.455,54.145,60.986,64.993,59.206,56.515,54.335,52.335,49.116,56.199,56.794,59.22,65.378,79.638,68.17,61.588,57.572,56.298,75.394,45.92
43.5,44.94,41.5,38.256,43.5,54.171,60.199,64.803,64.836,65.761,60.625,55.919,52,54.015,54.186,57.173,63.044,72.983,65.451,60.002,57.345,55.16,50.1,44.574
41.881,36.125,35.018,31.799,37.389,50.64,58.495,58.647,56.324,54.904,52.826,45.646,46.891,47.866,52.944,56.558,61.72,66.505,64.508,58.193,56.556,54.571,51.923,52.94
46.62,45.5,42,41.36,45.25,49.749,57.181,59.981,62.571,60.559,56.98,54.56,51.923,50.006,51.249,56.298,60.696,66.173,66.173,60.616,56.208,52.489,50.091,52.946
46.12,41.36,40,36.235,36.524,39.2,41,44.115,50.348,50.144,46,44.2,39.315,37.42,34.502,38.09,47.924,57.546,61.795,56.619,51.561,50.173,45.883,41.92
36.475,35.281,34.245,24.729,29.801,46.394,57.975,55.144,54.888,58.574,57.142,48.487,51.598,48.948,49.572,54.09,64.293,77.674,71.673,65.313,59.278,55.191,49.8,46.806
39.343,38.76,37.755,33.144,34.155,53.775,59.866,59.625,58.828,55.794,55.725,49.584,48.1,56.085,51.97,57.799,67.27,78.909,71.225,67.099,59.628,55.519,53.261,52.55
